,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
44,Longyearbyen,75,SJ,1603993448,57,78.22,15.64,21.2,18.34
45,Aranos,96,NA,1603993486,58,-24.13,19.12,70.43,9.51
46,Hobart,90,AU,1603993486,81,-42.88,147.33,53.6,2.42
47,Scarborough,100,GB,1603993370,92,54.28,-0.4,55.0,8.01
48,Praia,2,CV,1603993385,62,14.92,-23.51,86.0,18.34
49,Kaitangata,71,NZ,1603993205,93,-46.28,169.85,52.0,1.01
50,Atuona,32,PF,1603993265,67,-9.8,-139.03,78.06,17.13
51,Vardø,75,NO,1603993486,78,70.37,31.11,33.8,19.46
52,Maningrida,86,AU,1603993487,51,-12.07,134.27,77.83,2.77
53,Te Anau,97,NZ,1603993363,90,-45.42,167.72,52.2,1.61
54,Busselton,0,AU,1603993313,40,-33.65,115.33,61.0,12.57
55,Navoiy,0,UZ,1603993487,34,40.08,65.38,48.2,13.87
56,Muros,2,ES,1603993304,74,42.78,-9.06,59.0,1.99
57,Jamestown,90,US,1603993487,87,42.1,-79.24,44.01,8.05
58,Brewster,90,US,1603993413,93,41.4,-73.62,48.0,8.05
59,Vaini,20,TO,1603993279,77,-21.2,-175.2,69.8,6.93
60,Guerrero Negro,57,MX,1603993296,21,27.98,-114.06,76.1,2.91
61,Sørkjosen,75,NO,1603993488,80,69.8,20.93,35.6,18.34
62,Chala,75,TZ,1603993488,46,-7.58,31.27,71.6,5.82
63,Anking,1,CN,1603993488,73,30.51,117.05,59.47,7.23
64,Avera,90,US,1603993488,70,33.19,-82.53,84.2,16.11
65,Horta,75,PT,1603993488,93,38.53,-28.63,66.2,2.24
66,Ubinskoye,100,RU,1603993488,94,55.31,79.68,33.37,16.31
67,Ilulissat,75,GL,1603993324,73,69.22,-51.1,21.2,3.36
68,Cidreira,100,BR,1603993294,72,-30.18,-50.21,63.14,12.48
69,Yellowknife,6,CA,1603993271,85,62.46,-114.35,17.01,5.99
70,Gao,36,ML,1603993389,12,16.64,1.64,87.55,7.34
71,Husavik,90,IS,1603993489,70,66.04,-17.34,42.8,5.82
72,Santa Barbara,1,US,1603993198,33,34.73,-120.03,70.0,3.49
73,Avarua,100,CK,1603993318,83,-21.21,-159.78,73.4,6.93
74,Biltine,84,TD,1603993489,16,14.53,20.92,92.3,8.5
75,Sitka,90,US,1603993489,86,57.05,-135.33,41.0,6.93
76,Torbay,77,CA,1603993490,78,47.67,-52.73,42.01,1.01
77,Ambanja,54,MG,1603993490,82,-13.68,48.45,76.26,0.74
78,Baruun-Urt,34,MN,1603993490,59,46.68,113.28,37.45,12.66
79,Kashgar,18,CN,1603993344,12,39.45,75.98,48.2,20.13
80,Tazovsky,0,RU,1603993490,93,67.47,78.7,-2.65,7.34
81,‘Ewa Beach,90,US,1603993490,88,21.32,-158.01,73.4,3.36
82,Tual,78,ID,1603993364,71,-5.67,132.75,82.65,8.59
83,Whitehorse,99,CA,1603993491,92,60.72,-135.05,24.01,5.99
84,Mount Gambier,90,AU,1603993315,93,-37.83,140.77,51.8,6.93
85,São João da Barra,0,BR,1603993281,59,-21.64,-41.05,89.6,13.87
86,Kavieng,83,PG,1603993491,73,-2.57,150.8,82.18,3.8
87,Maïné Soroa,5,NE,1603993491,16,13.21,12.02,87.78,10.76
88,Dikson,77,RU,1603993288,91,73.51,80.55,4.6,21.81
89,Berlevåg,75,NO,1603993301,81,70.86,29.09,33.8,19.46
90,Sayyan,0,YE,1603993492,40,15.17,44.32,53.89,4.14
91,Omboué,100,GA,1603993492,91,-1.57,9.26,75.52,3.94
92,Tura,6,IN,1603993496,87,25.52,90.22,71.62,3.76
93,Verkhnevilyuysk,42,RU,1603993496,91,63.45,120.32,-5.04,3.38
94,Parksville,100,CA,1603993279,90,49.32,-124.32,52.0,7.54
95,Corinth,50,GR,1603993497,61,37.94,22.96,63.0,1.01
96,Bredasdorp,98,ZA,1603993497,47,-34.53,20.04,59.0,18.34
97,Souillac,42,MU,1603993497,64,-20.52,57.52,71.01,5.99
98,Sørland,75,NO,1603993497,60,67.67,12.69,41.0,14.99
99,Atambua,20,ID,1603993497,84,-9.11,124.89,75.2,1.81
100,Severo-Kuril'sk,71,RU,1603993290,80,50.68,156.12,41.38,7.25
101,Hermanus,70,ZA,1603993498,64,-34.42,19.23,55.0,1.99
102,Snezhnogorsk,75,RU,1603993498,93,69.19,33.25,35.6,4.47
103,Saint George,1,US,1603993396,22,37.1,-113.58,61.0,1.54
104,Safaga,0,EG,1603993498,65,26.73,33.94,82.4,5.82
105,Ambulu,60,ID,1603993499,87,-8.35,113.61,76.73,3.06
106,Pangkalanbuun,100,ID,1603993499,94,-2.68,111.62,75.13,1.77
107,Owando,99,CG,1603993304,96,-0.48,15.9,72.19,3.71
108,Stupino,0,RU,1603993499,86,54.9,38.07,39.2,8.95
109,St. George's,75,GD,1603993499,83,12.06,-61.75,82.4,18.34
110,Provideniya,0,RU,1603993499,86,64.38,-173.3,22.3,6.98
111,Synya,99,RU,1603993339,95,65.37,58.04,35.83,10.13
112,Seminole,40,US,1603993483,58,28.71,-81.21,90.0,14.99
113,Tilichiki,0,RU,1603993500,93,60.47,166.1,23.2,3.89
114,Don Benito,0,ES,1603993500,76,38.96,-5.86,66.99,8.01
115,Hithadhoo,1,MV,1603993500,75,-0.6,73.08,83.48,12.53
116,Ostrovnoy,41,RU,1603993500,83,68.05,39.51,42.85,24.54
117,Conde,40,BR,1603993500,58,-7.26,-34.91,86.0,11.41
118,Gambo,86,CF,1603993502,93,4.65,22.26,71.58,1.74
119,Ngunguru,100,NZ,1603993414,95,-35.62,174.5,59.0,7.78
120,Barrow,90,US,1603993284,85,71.29,-156.79,12.2,12.75
121,Muisne,75,EC,1603993503,74,0.6,-80.03,82.4,4.7
122,Chui,40,UY,1603993287,65,-33.7,-53.46,60.46,14.43
123,Mahajanga,40,MG,1603993505,69,-15.72,46.32,82.4,2.24
124,Verkhnyaya Sinyachikha,53,RU,1603993506,97,57.98,61.67,32.07,6.51
125,Bengkulu,99,ID,1603993506,88,-3.8,102.27,75.49,7.49
126,Tumpat,99,MY,1603993506,87,6.2,102.17,78.6,3.8
127,Ballina,7,AU,1603993290,100,-28.87,153.57,59.0,3.36
128,Port Hardy,100,CA,1603993507,89,50.7,-127.42,53.6,6.55
129,Chumikan,0,RU,1603993507,93,54.72,135.31,30.18,12.53
130,Mananjary,71,MG,1603993508,87,-21.22,48.33,71.76,10.87
131,Assiut,0,EG,1603993508,51,27.18,31.18,80.6,11.41
132,Half Moon Bay,1,US,1603993093,59,37.46,-122.43,66.99,0.69
133,Dingle,76,PH,1603993509,89,11.0,122.67,75.94,6.64
134,Tougan,34,BF,1603993510,13,13.07,-3.07,86.83,5.91
135,Puerto Ayora,75,EC,1603993510,73,-0.74,-90.35,77.0,9.17
136,Ponta do Sol,40,PT,1603993329,64,32.67,-17.1,71.6,12.75
137,Nikolskoye,90,RU,1603993510,93,59.7,30.79,50.0,2.24
138,Khovd,0,MN,1603993305,73,48.01,91.64,29.59,7.58
139,Santa María del Oro,0,MX,1603993511,31,25.93,-105.37,60.69,4.74
140,Port Lincoln,68,AU,1603993512,80,-34.73,135.87,55.51,20.78
141,Mitú,26,CO,1603993512,50,1.2,-70.17,92.25,3.02
142,Miyako,28,JP,1603993513,73,39.64,141.95,44.49,5.32
143,Augusto Corrêa,13,BR,1603993513,59,-1.02,-46.63,87.73,9.78
144,Tabou,81,CI,1603993513,84,4.42,-7.35,78.85,6.31
145,Arrondissement de Bastia,20,FR,1603993514,93,42.67,9.33,61.0,3.36
146,Abu Kamal,77,SY,1603993514,17,34.45,40.92,76.55,10.29
147,Tevaitoa,14,PF,1603993514,73,-16.78,-151.5,81.01,7.43
148,Bacolod City,94,PH,1603993515,85,10.67,122.95,78.37,6.98
149,Grindavik,75,IS,1603993515,87,63.84,-22.43,44.6,12.75
150,Måløy,75,NO,1603993515,81,61.94,5.11,48.2,11.41
151,Sakakah,0,SA,1603993515,12,29.97,40.21,77.0,9.17
152,Bambous Virieux,48,MU,1603993283,64,-20.34,57.76,71.01,8.99
153,Port Alfred,100,ZA,1603993516,83,-33.59,26.89,62.87,21.97
154,Cockburn Town,12,TC,1603993303,76,21.46,-71.14,82.85,18.79
155,Cherskiy,100,RU,1603993273,91,68.75,161.3,5.9,3.96
156,Hasaki,75,JP,1603993328,71,35.73,140.83,54.0,6.93
157,Warkworth,100,NZ,1603993516,95,-36.4,174.67,59.0,4.72
158,Turukhansk,85,RU,1603993517,93,65.82,87.98,11.62,11.12
159,Abu Samrah,14,SY,1603993517,57,35.3,37.18,67.71,4.45
160,Lawton,1,US,1603993517,66,34.61,-98.39,54.0,21.92
161,Ariquemes,91,BR,1603993518,40,-9.91,-63.04,95.14,5.21
162,Fortuna,1,US,1603993518,47,40.6,-124.16,59.0,4.7
163,Nantucket,90,US,1603993518,93,41.28,-70.1,50.0,4.7
164,Menongue,78,AO,1603993518,55,-14.66,17.69,73.85,0.56
165,Maltahöhe,55,NA,1603993519,24,-24.83,16.98,72.9,12.75
166,Deputatsky,98,RU,1603993519,93,69.3,139.9,0.86,1.05
167,Chandler,1,US,1603993519,21,33.31,-111.84,75.0,3.69
168,Yulara,40,AU,1603993519,30,-25.24,130.99,68.0,10.29
169,Nadym,99,RU,1603993520,96,65.53,72.52,12.15,8.68
170,Lavrentiya,0,RU,1603993520,89,65.58,-171.0,22.48,7.43
171,Vendychany,91,UA,1603993520,72,48.61,27.79,54.79,1.72
172,Unión de Tula,21,MX,1603993520,51,19.97,-104.27,78.08,2.33
173,Presidencia Roque Sáenz Peña,37,AR,1603993521,28,-26.79,-60.44,77.0,8.99
174,Upernavik,98,GL,1603993293,85,72.79,-56.15,20.28,5.19
175,Wahiawā,90,US,1603993521,100,21.5,-158.02,73.0,1.48
176,Pointe Michel,75,DM,1603993521,78,15.25,-61.38,82.4,5.82
177,Rosita,20,NI,1603993521,54,13.93,-84.4,89.76,4.32
178,Jega,0,NG,1603993522,22,12.22,4.38,85.24,6.53
179,Aykhal,26,RU,1603993393,89,66.0,111.5,-8.12,2.91
180,Winnemucca,1,US,1603993522,26,40.97,-117.74,46.4,5.82
181,Itaituba,20,BR,1603993523,53,-4.28,-55.98,96.8,3.69
182,Bålsta,75,SE,1603993523,100,59.57,17.53,44.01,2.24
183,Kraśnik,20,PL,1603993523,100,50.92,22.23,52.0,3.36
184,Vaitape,1,PF,1603993524,75,-16.52,-151.75,80.51,4.47
185,Wattegama,100,LK,1603993524,90,6.8,81.48,76.08,2.57
186,Saint-Pierre,90,RE,1603993291,68,-21.34,55.48,71.6,23.04
187,Cayenne,98,GF,1603993524,59,4.93,-52.33,91.4,11.41
188,Saskylakh,0,RU,1603993289,84,71.92,114.08,-0.51,4.05
189,Geraldton,99,AU,1603993284,60,-28.77,114.6,75.2,3.36
190,Binga,0,ZW,1603993320,37,-17.62,27.34,82.06,4.7
191,Carnarvon,90,AU,1603993525,100,-24.87,113.63,71.6,8.05
192,Kochubey,100,RU,1603993526,76,44.39,46.58,60.67,17.52
193,Hambantota,52,LK,1603993526,82,6.12,81.12,79.48,9.15
194,Klaksvík,16,FO,1603993376,93,62.23,-6.59,46.4,12.75
195,Esperance,0,AU,1603993527,87,-33.87,121.9,50.0,9.17
196,Islamkot,0,PK,1603993527,29,24.7,70.18,80.82,3.49
197,Bathsheba,75,BB,1603993322,94,13.22,-59.52,77.0,29.97
198,Sola,67,VU,1603993527,79,-13.88,167.55,80.38,19.01
199,Ribeira Grande,75,PT,1603993306,93,38.52,-28.7,66.2,2.24
200,Constitución,0,CL,1603993528,50,-35.33,-72.42,62.47,14.05
201,Kattivākkam,64,IN,1603993528,73,13.22,80.32,76.75,11.41
202,Nakusp,100,CA,1603993528,99,50.25,-117.8,37.99,1.01
203,Sabzawār,0,IR,1603993529,32,36.21,57.68,50.23,6.42
204,Sorong,100,ID,1603993529,84,-0.88,131.25,77.09,8.46
205,Arraial do Cabo,75,BR,1603993529,88,-22.97,-42.03,82.4,9.17
206,Laguna,1,US,1603993530,50,38.42,-121.42,62.6,2.89
207,Mahébourg,39,MU,1603993530,64,-20.41,57.7,71.01,5.99
208,Victoria Point,0,AU,1603993530,86,-27.58,153.3,66.0,5.91
209,Tasiilaq,75,GL,1603993531,59,65.61,-37.64,33.8,8.05
210,Fukuechō,63,JP,1603993531,71,32.69,128.84,65.71,18.1
211,Shumskiy,41,RU,1603993531,85,54.83,99.13,27.03,4.34
212,Benguela,58,AO,1603993531,75,-12.58,13.41,78.17,9.13
213,‘Āhuimanu,90,US,1603993531,100,21.44,-157.84,73.4,1.77
214,Alexandria,20,EG,1603993532,69,31.22,29.96,77.0,10.29
215,Kyrksæterøra,40,NO,1603993532,100,63.29,9.09,42.8,2.24
216,Barreirinhas,51,BR,1603993532,52,-2.75,-42.83,89.38,13.76
217,Yen Bai,100,VN,1603993532,92,21.7,104.87,70.12,1.9
218,Meulaboh,100,ID,1603993532,85,4.14,96.13,77.07,3.42
219,Bakchar,100,RU,1603993532,98,57.02,82.07,27.18,10.89
220,Muroto-misakicho,87,JP,1603993533,72,33.28,134.15,62.69,20.0
221,Kahului,75,US,1603993533,88,20.89,-156.47,75.2,6.69
222,Garissa,65,KE,1603993533,54,-0.45,39.64,83.05,18.3
223,Puerto Colombia,40,CO,1603993483,74,10.99,-74.95,86.0,4.7
224,Acaraú,16,BR,1603993533,57,-2.89,-40.12,86.41,22.19
225,Ulenje,80,TZ,1603993534,80,-8.93,33.68,59.97,5.44
226,Launceston,40,AU,1603993534,93,-41.45,147.17,46.99,3.36
227,Mar del Plata,75,AR,1603993307,62,-38.0,-57.56,55.4,13.87
228,Port-Gentil,40,GA,1603993534,83,-0.72,8.78,80.6,6.93
229,Porangatu,94,BR,1603993262,44,-13.44,-49.15,90.91,3.76
230,Umluj,0,SA,1603993535,65,25.02,37.27,80.76,4.34
231,East London,75,ZA,1603993535,88,-33.02,27.91,64.4,18.34
232,Kiryat Gat,15,IL,1603993535,100,31.61,34.76,78.01,5.82
233,Longjiang,1,CN,1603993536,80,47.33,123.18,31.46,7.56
234,Bethel,100,US,1603993536,89,41.37,-73.41,45.0,1.99
235,Moree,0,AU,1603993537,76,-29.47,149.85,53.6,9.44
236,Tornabé,40,HN,1603993537,84,15.75,-87.55,86.0,6.93
237,Akhmīm,0,EG,1603993537,42,26.56,31.75,84.2,6.93
238,Ola,86,RU,1603993467,91,59.58,151.28,28.56,5.08
239,Airai,31,TL,1603993537,100,-8.93,125.41,60.89,1.21
240,Charters Towers,0,AU,1603993537,55,-20.1,146.27,67.08,5.23
241,Saint-Philippe,90,RE,1603993538,68,-21.36,55.77,71.6,23.04
242,Polunochnoye,99,RU,1603993538,90,60.87,60.42,35.38,5.73
243,Pangnirtung,28,CA,1603993338,83,66.15,-65.71,9.19,3.47
244,Cedral,1,MX,1603993538,42,23.8,-100.73,71.89,4.56
245,Pahrump,1,US,1603993539,12,36.21,-115.98,66.2,14.99
246,Barcelos,40,PT,1603993485,72,41.54,-8.62,64.0,0.94
247,Bondo,100,CD,1603993539,98,3.81,23.69,70.57,2.77
248,Honningsvåg,75,NO,1603993539,75,70.98,25.97,35.6,4.7
249,Tungor,72,RU,1603993539,92,53.38,142.96,33.78,7.31
250,Vila Franca do Campo,75,PT,1603993540,88,37.72,-25.43,69.8,17.22
251,General Roca,0,AR,1603993540,19,-39.03,-67.58,71.6,6.93
252,Rocha,2,UY,1603993540,58,-34.48,-54.33,60.75,19.01
253,Cleethorpes,40,GB,1603993442,93,53.56,-0.03,57.2,20.8
254,Lüderitz,32,NA,1603993367,67,-26.65,15.16,62.42,28.81
255,España,45,PH,1603993540,82,12.38,122.5,81.68,12.37
256,Mitsamiouli,15,KM,1603993541,76,-11.38,43.28,79.48,4.76
257,Grand-Santi,100,GF,1603993541,27,4.25,-54.38,100.94,4.41
258,Posse,100,BR,1603993541,51,-14.09,-46.37,84.76,4.09
259,Samarai,93,PG,1603993541,80,-10.62,150.67,79.59,5.37
260,Mount Holly,75,US,1603993467,78,35.3,-81.02,81.0,20.8
261,Bahía Blanca,0,AR,1603993535,25,-38.72,-62.27,66.27,9.84
262,Yhú,99,PY,1603993542,43,-25.05,-55.92,84.49,10.94
263,Novopavlovka,87,RU,1603993543,96,51.22,109.21,27.45,1.39
264,Paamiut,99,GL,1603993543,88,61.99,-49.67,27.64,6.93
265,Shangqiu,5,CN,1603993543,81,34.45,115.65,53.85,2.57
266,George Town,20,MY,1603993334,88,5.41,100.34,80.6,4.7
267,Vostok,100,RU,1603993543,100,46.49,135.88,31.93,3.56
268,Kibara,75,TZ,1603993544,73,-2.15,33.45,75.2,11.01
269,Waingapu,80,ID,1603993321,79,-9.66,120.26,80.22,6.22
270,Hong Kong,92,HK,1603993544,83,22.29,114.16,75.99,6.67
271,Udachny,66,RU,1603993544,89,66.42,112.4,-10.73,1.59
272,Khromtau,25,KZ,1603993545,68,50.25,58.43,38.32,5.44
273,Warrington,75,GB,1603993545,82,53.39,-2.58,59.0,18.34
274,Vung Tau,61,VN,1603993545,81,10.35,107.08,79.74,3.65
275,Siavonga,0,ZM,1603993545,36,-16.54,28.71,87.67,8.52
276,Broken Hill,90,AU,1603993546,76,-31.95,141.43,53.6,11.41
277,Baracoa,39,CU,1603993546,66,20.35,-74.5,85.87,10.02
278,Ndendé,88,GA,1603993546,86,-2.4,11.36,76.33,2.75
279,New Norfolk,90,AU,1603993547,81,-42.78,147.06,53.6,1.95
280,Talnakh,79,RU,1603993274,85,69.49,88.4,6.73,5.64
281,Kitakata,82,JP,1603993547,80,37.65,139.87,45.0,4.32
282,Port Blair,92,IN,1603993547,82,11.67,92.75,80.65,7.23
283,Shunyi,0,CN,1603993548,48,40.12,116.65,55.99,4.47
284,Okhotsk,100,RU,1603993548,96,59.38,143.3,27.3,9.57
285,Golpāyegān,3,IR,1603993549,44,33.45,50.29,48.67,1.88
286,Usinsk,100,RU,1603993549,94,65.99,57.53,34.77,16.51
287,Dwārka,0,IN,1603993550,58,22.24,68.97,80.89,8.41
288,Margate,100,GB,1603993355,84,51.38,1.39,57.99,1.99
289,San Patricio,20,US,1603993551,40,28.02,-97.52,68.0,25.28
290,Naze,90,JP,1603993551,64,28.37,129.48,75.2,11.41
291,Adelaide,75,AU,1603993362,82,-34.93,138.6,57.0,16.11
292,Yar-Sale,100,RU,1603993296,96,66.83,70.83,12.76,7.65
293,Mogok,70,MM,1603993551,99,22.92,96.5,64.11,2.39
294,Belmonte,75,BR,1603993283,69,-15.86,-38.88,82.4,16.11
295,Coyhaique,0,CL,1603993552,41,-45.58,-72.07,57.2,5.82
296,Tarauacá,84,BR,1603993552,44,-8.16,-70.77,94.28,4.59
297,Sabang,100,ID,1603993553,76,5.89,95.32,82.38,15.86
298,Kumul,100,CN,1603993553,49,42.8,93.45,47.32,12.68
299,San Ignacio,40,BZ,1603993400,74,17.16,-89.07,90.0,4.7
300,Olafsvik,100,IS,1603993554,82,64.89,-23.71,44.11,22.06
301,Isabela,81,PH,1603993554,82,6.71,121.97,79.93,8.43
302,Faya,0,SA,1603993554,36,18.39,42.45,66.2,5.66
303,Tselinnoye,97,RU,1603993325,92,53.08,85.67,29.14,15.03
304,Anchorage,90,US,1603993266,85,61.22,-149.9,25.0,5.37
305,Buraidah,0,SA,1603993555,22,26.33,43.98,75.2,5.82
306,Westport,90,US,1603993507,93,41.14,-73.36,48.2,12.75
307,Camacha,75,PT,1603993555,68,33.08,-16.33,69.8,11.41
308,La Paz,40,BO,1603993327,7,-16.5,-68.15,62.6,10.29
309,Bonavista,65,CA,1603993555,72,48.65,-53.11,39.99,5.99
310,Tanout,5,NE,1603993556,14,14.97,8.89,86.68,10.65
311,Moerai,100,PF,1603993556,84,-22.43,-151.33,73.99,8.86
312,Dawei,100,MM,1603993404,90,14.08,98.2,75.15,2.37
313,Plyussa,100,RU,1603993557,95,58.43,29.37,50.27,6.04
314,Lorengau,100,PG,1603993557,79,-2.02,147.27,81.63,7.94
315,Anito,100,PH,1603993557,87,12.45,125.29,79.99,7.83
316,Oddur,85,SO,1603993558,77,4.12,43.89,75.9,9.1
317,Cabo San Lucas,5,MX,1603993395,50,22.89,-109.91,82.0,3.36
318,Uppsala County,23,SE,1603993559,93,60.0,17.75,44.01,6.93
319,Bambanglipuro,44,ID,1603993559,89,-7.95,110.28,77.79,3.67
320,Ambovombe,1,MG,1603993559,79,-25.17,46.08,68.59,21.99
321,Makakilo City,90,US,1603993559,88,21.35,-158.09,73.4,3.36
322,Iqaluit,47,CA,1603993560,90,63.75,-68.51,8.67,6.15
323,Galle,33,LK,1603993560,84,6.04,80.22,79.29,6.38
324,Tuatapere,81,NZ,1603993317,92,-46.13,167.68,52.0,3.0
325,Aklavik,99,CA,1603993561,95,68.22,-135.01,13.05,2.51
326,Aquiraz,20,BR,1603993562,62,-3.9,-38.39,86.0,17.22
327,Arlit,0,NE,1603993562,12,18.74,7.39,87.3,17.6
328,Karlshamn,75,SE,1603993563,100,56.17,14.86,48.2,2.24
329,North Platte,90,US,1603993563,65,41.12,-100.77,50.0,6.93
330,Gewanē,22,ET,1603993563,25,10.17,40.65,83.59,13.62
331,Port Hedland,62,AU,1603993563,88,-20.32,118.57,75.2,12.75
332,Sistranda,40,NO,1603993564,100,63.73,8.83,39.2,2.24
333,São Filipe,1,CV,1603993564,65,14.9,-24.5,83.03,5.59
334,Obo,100,CF,1603993564,95,5.4,26.49,70.39,4.94
335,Shelbyville,93,US,1603993340,64,35.48,-86.46,69.8,17.22
336,El Cobre,40,CU,1603993565,62,20.05,-75.95,86.0,6.93
337,Bumba,93,CD,1603993565,96,2.18,22.47,70.56,2.46
338,Beberibe,20,BR,1603993566,62,-4.18,-38.13,86.0,17.22
339,Les Cayes,2,HT,1603993566,69,18.2,-73.75,86.25,8.21
340,Gimli,3,CA,1603993567,98,50.63,-96.99,27.0,5.99
341,Hualmay,73,PE,1603993567,67,-11.1,-77.61,68.94,9.82
342,Salalah,0,OM,1603993279,65,17.02,54.09,80.6,4.7
343,Kilindoni,7,TZ,1603993567,78,-7.91,39.67,79.77,15.17
344,Havre-St-Pierre,67,CA,1603993568,81,50.23,-63.6,35.94,19.82
345,Shingū,56,JP,1603993568,68,33.73,135.98,51.94,6.02
346,Ribas do Rio Pardo,100,BR,1603993514,89,-20.44,-53.76,71.92,7.2
347,Jalu,11,LY,1603993568,56,29.03,21.55,70.65,10.09
348,Staroutkinsk,100,RU,1603993568,95,57.23,59.33,30.67,8.12
349,Truro,75,GB,1603993569,87,50.27,-5.05,57.2,21.92
350,West Fargo,90,US,1603993569,73,46.88,-96.9,30.2,6.93
351,Maniitsoq,100,GL,1603993569,89,65.42,-52.9,26.89,12.26
352,Gamba,22,GA,1603993294,88,-2.65,10.0,77.9,5.95
353,Bjørnevatn,40,NO,1603993570,80,69.67,29.98,33.8,17.22
354,Aden,2,YE,1603993291,69,12.78,45.04,82.31,11.45
355,Aktau,0,KZ,1603993514,32,43.65,51.2,51.8,20.13
356,Zlatograd,85,BG,1603993570,77,41.38,25.1,60.01,1.54
357,Bukachacha,99,RU,1603993570,93,52.98,116.92,24.64,0.47
358,Gurupá,46,BR,1603993570,45,-1.41,-51.64,94.28,4.92
359,Kota Kinabalu,20,MY,1603993570,83,5.97,116.07,77.0,4.7
360,Lincoln,1,US,1603993507,48,40.8,-96.67,43.0,13.87
361,Lebanon,75,US,1603993571,68,36.21,-86.29,73.0,21.92
362,Mabaruma,93,GY,1603993571,64,8.2,-59.78,88.34,4.97
363,Bilibino,100,RU,1603993571,83,68.05,166.44,2.46,1.52
364,Baturaja,25,ID,1603993571,93,-4.13,104.17,74.64,1.9
365,Saint-Joseph,90,RE,1603993572,68,-21.37,55.62,71.6,23.04
366,Xai-Xai,0,MZ,1603993572,70,-25.05,33.64,76.44,13.0
367,Scottsbluff,1,US,1603993572,70,41.87,-103.67,42.8,13.53
368,Koshurnikovo,89,RU,1603993572,89,54.17,93.3,23.04,6.13
369,Zakharovo,0,RU,1603993572,62,54.37,39.28,36.0,3.0
370,Suntar,100,RU,1603993572,88,62.14,117.63,10.96,7.54
371,Ossora,99,RU,1603993573,94,59.24,163.07,33.51,2.68
372,Tessalit,2,ML,1603993573,13,20.2,1.01,84.7,6.51
373,Valparaíso,0,CL,1603993559,46,-33.04,-71.63,69.8,5.82
